date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeTotUSD,HashRate,IssTotUSD,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjUSD,TxTfrValMeanUSD,TxTfrValMedUSD,TxTfrValUSD,VtyDayRet30d,FearAndGreed,Tweets
42900,740847,140,135707946,969342.471428571,2.919798,40057150815.08546946982861374,13719151421.37862739382921324,678760110082.99,1106660.501301916007828052175,4723788.73204875,4276692.7899035725,2443.82445137347,256.7896120251008,40.701743749845406,16391173.59373857,284904,661533,1766323633.077623084064986067,8931.730496113983358198949067,75.9422847148318274746,5908634470.285767204208974032,0.05357153336574709,,3291
42901,797366,153,152140948,994385.281045752,2.87371971,39505481201.24846864068085109,13747158807.89641103334711684,678760110082.989,1038438.704490639984626708299,5162426.25716756,4608908.4364808625,2409.886764173,246.7455643775736,37.15707469011593,16393086.09373833,293498,688645,1637020716.12274333723189381,8000.88777270595897206677254,70.4559314147146626,5509771360.23508868890993385,0.05377126530892571,,46946
42902,730161,148,145489533,983037.385135135,2.93413098,40599749113.94862402715195007,13837060898.23270857012812432,678760110082.99,940511.212821876773945917163,4993719.51673725,4581264.326458217,2476.35909538282,222.68627276907358,36.91026859510577,16394936.09373818,271022,638526,1664208374.527194238207360417,9605.054548639077731634419071,66.3682067348082516304,6133077060.724312539348282275,0.05375092397469007,,164
42903,659616,145,142932728,985742.951724138,3.1272984,43496562773.61849616131299609,13908670415.06228401818784214,680804481067.934,818022.0724560878991440679071,4907231.27624732,4808119.0960805025,2652.75536335476,253.69381387444884,40.0427184452556,16396748.59373815,233555,557571,1329019141.549002402846406924,7476.309021681718830600215117,57.21462767683546368,4168573097.528104225534366798,0.05442371803231796,,362
42904,628753,145,135733339,936091.993103448,2.93677553,41131103916.58711752981036704,14005532092.64860129526772825,711697198173.755,700536.9017398023674974982738,5129905.64430105,4546138.25095339,2508.21420742256,230.77295525818698,27.47934655772189,16398561.09373267,209445,508689,1263706183.685061446695003038,7625.103458621432567606072141,46.1931038402652834288,3878806253.262675645161264541,0.055525660789046596,,191
42905,725338,151,148016659,980242.774834437,3.00723619,42471293996.76411413901758259,14123032345.34158970982695994,711697198173.755,995402.720347884839297480636,5342177.60199627,4887949.677762281125,2589.64221338399,237.73516143855122,26.440108456986216,16400448.59373263,268231,637802,1388699876.1871093860604693,8968.235057656167130510859498,73.25801307629875243145,5719958256.24321536675873928,0.05538270703426046,,502
42906,745087,138,134262120,972913.913043478,3.14552423,44830856447.15171701685511506,14252268662.30237389702790766,711697198173.755,1079156.84038034370410553726,4882255.02698997,4714815.809587968,2733.22655628288,278.3025874109753,33.63957053187617,16402173.59373259,272588,686535,1436085940.938194008220141261,9299.220227489471386577143296,81.9967966884864,6384240158.879490208433844634,0.05598391742000156,,942
42907,755305,140,137630192,983072.8,3.02520974,43294240942.06710958056387604,14311153483.88815051321657776,711697198173.755,1220827.99618104640543105552,4953012.34622171,4618707.299853885,2639.26131420222,294.15244046753565,26.95204627567438,16403923.59373245,279662,701278,1422908465.133931307894647019,9019.974865101943468601433719,58.5434874415313775294,6325509933.448957444051657895,0.056554150939547826,,1265
42908,728948,139,137967217,992569.90647482,3.0574306,44076228598.23766902107340064,14416101096.15160838293744967,711697198173.755,1187111.106548756616442144305,4917633.68660584,4668050.056129453625,2686.64751431911,351.6641862312638,19.021014655377652,16405661.09373232,267507,639188,1402975393.916859830822821699,8458.864823949694812665167255,60.9481033849370290516,5406804889.090760875480625769,0.05482983599257768,,497
42909,718091,160,151818975,948868.59375,3.04158628,44068852430.01314141791285463,14488772773.93619885886421843,711697198173.755,928223.5622571983421827344666,5660585.53853909,5371740.94202222,2685.87047101111,327.9058830700042,11.21583576938771,16407661.09373219,263398,619408,1228249862.075237433505818215,8076.856634910362515201845546,59.08915036224442,5002869614.516549439743403887,0.05358066681119925,,243
42910,638287,146,137823322,943995.356164384,2.89910643,42044207205.81661694429352982,14502471097.36839840379761604,711697198173.755,756623.2672488255336818777565,5165284.30391692,4675995.1964567415,2562.18914874342,285.7980783775204,10.458166317151031,16409486.09373217,220439,543725,965422503.0914501568298541844,6833.104938275035978835016058,46.11940467738156,3715329982.563593278468910592,0.05378771635100534,,1604
42911,537762,122,114033999,934704.909836066,2.82389576,40990257366.1117653296955194,14515499460.22949612404712394,711697198173.756,670337.0925044891282216419138,4316196.47313606,3809036.63560344775,2497.72894137931,273.42367250793444,9.577458011061788,16411011.09373217,185434,464224,1078254190.892591334373400979,8779.740191230920845539115171,48.608802473971027772,4075766110.533978144613034682,0.05391412234636401,,703
42912,705488,142,140180858,987189.14084507,2.74177101,39823410570.62217011463670503,14524703329.88840110174571806,711697198173.755,906970.9653781389893582749224,5023769.66545344,4306797.96587668075,2426.36505119813,284.87202772573596,18.689255880250474,16412786.09373207,261094,621331,1249558995.343844654946233639,9030.386118823529721604852001,65.6286615959141879782,5610858837.594742489745122723,0.050029051907851445,,1120
42913,696698,131,129691539,990011.748091603,2.84709982,41534163466.45112701428453276,14588235786.99796527259986831,711697198173.756,924912.9354107763087085960292,4634604.40967888,4143440.81520383175,2530.34553600234,287.9441439890782,13.687583715426507,16414423.59373195,261113,656597,1453808206.6951832897940511,7736.301775408026514378999117,57.6513167819112344898,5079632536.827590384429657867,0.04826196582721768,,340
42914,738521,157,152246279,969721.522292994,2.86973355,42071787287.17280878251492864,14660520420.92204304394646936,711697198173.755,980484.7543077070839941472646,5554449.55969148,5029479.81849685675,2562.79226420222,295.97001653903226,12.171162252270037,16416386.09373182,277158,652630,1610107935.429220634078041351,8227.454617866310610016242429,70.307899255350123702,5369483707.258095824433164898,0.04811395368123176,,588
42915,628876,120,116467040,970558.666666667,2.83338619,41708704320.70874122846017662,14720444531.93563668831297027,711697198173.756,877315.9625718278168147877576,4245439.15390432,3810664.54742841,2540.44303161894,297.82294891534457,17.21887464660324,16417886.09372168,232122,547049,1438040641.438765746926821456,11808.11012923854356958477982,76.64008537788018192,6459614838.089817917257440864,0.04698621428484454,,511
